,Date/Time,MULTIPOINT
10,2022-06-01 10:00:00,"MULTIPOINT ((-0.4104445528 -0.8093324414), (-0.4019237231 -0.7626653149), (-0.454211284 -0.8639182913), (-0.4377983724 -0.7951461418), (-0.4028525259 -0.8223828881), (-0.3205490621 -0.7882643253), (-0.341505413 -0.7684748185), (-0.406194702 -0.815048304), (-0.1408039577 -0.6098734305), (-0.3581652166 -0.7779390076), (-0.3411437616 -0.7659944916), (-0.3021725766 -0.8414319685), (-0.3425281152 -0.7675148035), (-0.3411977888 -0.7706548502), (-0.4000825075 -0.8265656831), (-0.3975782147 -0.8167521429), (-0.2836879473 -0.8316992542), (-0.3548408906 -0.7766293435), (-0.3672511415 -0.7955816236), (-0.4030075449 -0.8170805127), (-0.3437761641 -0.7967905535), (-0.2092044199 -0.6599913301), (-0.3878033463 -0.8116136246), (-0.5143896753 -0.8789650639), (-0.4003971645 -0.8242411663), (-0.4003971645 -0.8242411663), (-0.4411970193 -0.8331458334), (-0.4003971645 -0.8242411663), (-0.3982825051 -0.8235978382), (-0.3804724856 -0.7886983765), (-0.4232291796 -0.8215089442), (-0.4152727597 -0.7924675055), (-0.4682081105 -0.8771808164), (-0.4114503883 -0.8149356486), (-0.409217781 -0.811972453), (-0.3494637996 -0.7651446285), (-0.3788678513 -0.7927504554), (-0.3918349428 -0.8148411134), (-0.3918349428 -0.8148411134), (-0.4455848436 -0.8582246022), (-0.3918349428 -0.8148411134), (-0.3463519766 -0.7798695284), (-0.3978987422 -0.8119959974), (-0.3451267842 -0.821170203), (-0.4016534382 -0.752637491), (-0.3305280299 -0.8390819999), (-0.3080524214 -0.8213473522), (-0.303080579 -0.7390709155), (-0.2852211513 -0.7102819681), (-0.329123919 -0.7425633532), (-0.3882716217 -0.7938274772), (-0.212636398 -0.6669553434), (-0.2896046843 -0.7393850394), (-0.3328066184 -0.8491937491), (-0.3210696959 -0.8479321871), (-0.2732902315 -0.7098904159), (-0.4289876793 -0.778868564), (-0.3447384619 -0.7808971367), (-0.3651025699 -0.7794712407), (-0.2584646405 -0.8145357516), (-0.3256373624 -0.8396071888), (-0.5235079629 -0.8906548236), (-0.3664813211 -0.853024928), (-0.3866819767 -0.7494410569), (-0.4152966592 -0.8158213945), (-0.4417054649 -0.8233956545), (-0.4592169195 -0.843876353), (-0.4309007126 -0.8336388946), (-0.4136438981 -0.8144307257), (-0.3608291474 -0.8267472431), (-0.4018637061 -0.7608888161), (-0.4794772046 -0.8490579665), (-0.4093431193 -0.8143500191), (-0.3780227564 -0.8039653338), (-0.377031046 -0.8550310292), (-0.4127265087 -0.7888256355), (-0.3661622538 -0.7529696755), (-0.316789032 -0.798513228), (-0.4640927764 -0.8199948909), (-0.387835262 -0.8148719893), (-0.4136066482 -0.8122414551), (-0.4037145471 -0.7669227962))"
11,2022-06-01 11:00:00,"MULTIPOINT ((-0.4611069175 -0.8504259254), (-0.4910211133 -0.8722015653), (-0.4570719239 -0.8604690084), (-0.3900397978 -0.7254672651), (-0.3562195226 -0.7771244313), (-0.4009124343 -0.7602627142), (-0.4019011646 -0.8221717635), (-0.452588889 -0.8416412453), (-0.3395955086 -0.8295873522), (-0.3994497368 -0.8212733811), (-0.3072075947 -0.8064126986), (-0.4177605136 -0.8038181665), (-0.2648001255 -0.7008560461), (-0.4008542053 -0.8264462921), (-0.4675340371 -0.8366722465), (-0.4225788865 -0.8391682499), (-0.4538403649 -0.848180029), (-0.4454665082 -0.8583529936), (-0.5075181202 -0.8841608637), (-0.4215121103 -0.8209708804), (-0.3280237073 -0.8570328388), (-0.4132504204 -0.8064525751), (-0.4078426058 -0.759766911), (-0.4495366061 -0.8272499009), (-0.351927654 -0.7752780743), (-0.3143191879 -0.8408074759), (-0.3915795578 -0.8146981184), (-0.4010577385 -0.8101839734), (-0.2840494198 -0.842252565), (-0.3431205369 -0.8214597096), (-0.2987134359 -0.8442946682), (-0.2697062293 -0.7096912721), (-0.2999794542 -0.7463134679), (-0.3671899027 -0.79555343), (-0.4562303751 -0.8155115622), (-0.3327041068 -0.71711455), (-0.2255587301 -0.670257757), (-0.3948143649 -0.8085054075), (-0.4055242046 -0.7957513817), (-0.4275662844 -0.8421442012), (-0.3619081118 -0.7848084857), (-0.2597821231 -0.6902381819), (-0.3508370081 -0.8147173116), (-0.4169091309 -0.8137921661), (-0.3824354039 -0.8073998344), (-0.344559752 -0.8292046217), (-0.4502942682 -0.8354260032), (-0.4319273186 -0.8398522889), (-0.523427384 -0.8948132397), (-0.411425118 -0.8091839031), (-0.4191772596 -0.8181204594), (-0.362205902 -0.7800540091), (-0.4144923604 -0.7890852794), (-0.4116752582 -0.8147819842))"
12,2022-06-01 12:00:00,"MULTIPOINT ((-0.5123769316 -0.8883480695), (-0.3859905002 -0.8102318967), (-0.4395743263 -0.8543726208), (-0.4143879714 -0.8274197782), (-0.2793115364 -0.7091904621), (-0.4535393861 -0.8565063386), (-0.1515416007 -0.6249576952), (-0.3239966702 -0.7383732863), (-0.4063645315 -0.8139697921), (-0.4575316765 -0.8546568821), (-0.4041370499 -0.7698893297), (-0.1689526892 -0.6271947699), (-0.3670693324 -0.788874572), (-0.3313089954 -0.8234068008), (-0.180109557 -0.6372563308), (-0.4918327727 -0.8626759224), (-0.3522017831 -0.7650255952), (-0.3855460946 -0.7903536366), (-0.2052666931 -0.6601538758), (-0.3425402735 -0.7695536881), (-0.35856826 -0.829642905), (-0.5133520434 -0.881255486), (-0.3012045572 -0.8086407132), (-0.3370700281 -0.7502997417), (-0.37684879 -0.751893369), (-0.4359824271 -0.8451170529), (-0.3644417277 -0.7867714918), (-0.3900181929 -0.8133272985), (-0.3426723764 -0.7673881406), (-0.4125553977 -0.8141759694), (-0.4061700873 -0.7980153983), (-0.1591350431 -0.627370727), (-0.5086624953 -0.8852666155), (-0.476514083 -0.8510417751), (-0.3483270831 -0.8207068256), (-0.3132542592 -0.7304452643), (-0.2893998399 -0.7119312675), (-0.5243054077 -0.8923357143), (-0.2921300456 -0.828205982), (-0.4052964441 -0.8222527681), (-0.4427495039 -0.8322367815), (-0.3584740626 -0.8352925453), (-0.2795099142 -0.8183475585), (-0.3654379378 -0.7676243594), (-0.3693522419 -0.8176283519), (-0.4130195607 -0.805238221), (-0.5002918272 -0.869801945), (-0.4071584302 -0.8270754936), (-0.4010927534 -0.7607646567), (-0.3964638481 -0.8001717663), (-0.5065759075 -0.8833455721), (-0.2843966481 -0.8320295909), (-0.2898125981 -0.8382276068), (-0.3365578277 -0.8479074506), (-0.3625491073 -0.7782357265), (-0.2561966906 -0.7996034227), (-0.415646778 -0.794117699), (-0.3380797972 -0.7851365574), (-0.3405060441 -0.7988488101), (-0.5230988701 -0.8916390387), (-0.3826958549 -0.7424011055), (-0.3989192989 -0.7553732895))"
13,2022-06-01 13:00:00,
14,2022-06-01 14:00:00,"MULTIPOINT ((-0.519802407 -0.8910556147), (-0.3912941941 -0.8023458374), (-0.3372246895 -0.7664728301), (-0.4103627223 -0.83353065), (-0.3532475803 -0.8199861884), (-0.2151051246 -0.6572485577), (-0.4150722363 -0.8383779929), (-0.2122066837 -0.6505693421), (-0.3695316968 -0.7524567654), (-0.1546777553 -0.6240210457), (-0.2871790036 -0.8349392006), (-0.4903150349 -0.8518671401), (-0.2154512354 -0.6717119658), (-0.3844079476 -0.8089807657), (-0.1763068535 -0.6627603292), (-0.4550480648 -0.8493827003), (-0.3690873805 -0.7970110363), (-0.3843101444 -0.7969371844), (-0.3360881518 -0.7657844399), (-0.13752083 -0.6118366154), (-0.4789508791 -0.8683293179), (-0.3977332337 -0.7616371701), (-0.3302906142 -0.7590300014), (-0.3050037145 -0.8111572806), (-0.2677871168 -0.7084261337), (-0.4131830131 -0.8131516395), (-0.340724358 -0.7039757672), (-0.4024234672 -0.8215522182), (-0.3407251924 -0.7701571993), (-0.4440006222 -0.8372262848), (-0.4384631482 -0.8197341144), (-0.4716347395 -0.838635789), (-0.2459763139 -0.6939217762), (-0.5144840217 -0.8928932693), (-0.396112865 -0.8159839402), (-0.3969336432 -0.8192793799), (-0.3743748036 -0.7831747435), (-0.3969336432 -0.8192793799), (-0.1474158962 -0.6111895917), (-0.3969336432 -0.8192793799), (-0.4883636491 -0.8610724601), (-0.283803392 -0.7109794781), (-0.1670145942 -0.6465949895), (-0.4039864412 -0.86168223), (-0.3939924841 -0.8010798049), (-0.1904642119 -0.6467457332), (-0.4061693423 -0.8069174427), (-0.4376837919 -0.7936872241), (-0.4786416755 -0.8374046261), (-0.4422791723 -0.8574762482), (-0.3982558045 -0.8006154738), (-0.393973293 -0.73236446), (-0.3744004613 -0.8011246287), (-0.4113445987 -0.8071757753), (-0.2319959817 -0.6688387158), (-0.5198065193 -0.8864623725), (-0.397816286 -0.8083951959), (-0.4064563748 -0.8134727969), (-0.2852892142 -0.8316190244), (-0.5138315831 -0.8963581094), (-0.3976385893 -0.7558343423), (-0.4594111849 -0.8589682473), (-0.3927981048 -0.7497804538), (-0.4091262953 -0.7714500545), (-0.2436281576 -0.7093921093), (-0.1434455237 -0.6117886921), (-0.416071635 -0.8046775665), (-0.4080998682 -0.7784617527), (-0.4038702515 -0.7568788787))"
15,2022-06-01 15:00:00,"MULTIPOINT ((-0.4835579709 -0.8460268201), (-0.4100211262 -0.8307990836), (-0.4088626856 -0.7818845109), (-0.4061084909 -0.7528343698), (-0.4182212198 -0.806010775), (-0.141800436 -0.6095419612), (-0.4010451927 -0.7523486997), (-0.3985914405 -0.8231324938), (-0.499280747 -0.8852483761), (-0.3980005088 -0.8198417033), (-0.389268398 -0.8127822012), (-0.5234168944 -0.8964563401), (-0.2732077752 -0.7223147607), (-0.445946048 -0.8578461038), (-0.4174113185 -0.8208614437), (-0.410290845 -0.7884498789), (-0.155558327 -0.6247455573), (-0.4870573712 -0.8685810342), (-0.4117873355 -0.7811038505), (-0.521840719 -0.8899561215), (-0.2284016688 -0.6761049317), (-0.3438351381 -0.8292999318), (-0.4052977553 -0.8269982442), (-0.4100550087 -0.8168292732), (-0.1435791165 -0.6153849039), (-0.2507577052 -0.6971036664), (-0.3755892383 -0.8100379982), (-0.2817807547 -0.8414980716), (-0.2474900288 -0.6829481235), (-0.4133371083 -0.8168146697), (-0.3050175715 -0.7246510198), (-0.2813493418 -0.7094125542), (-0.2787851214 -0.7289614909), (-0.2953322815 -0.7183848146), (-0.3965058957 -0.8129413493), (-0.3294241528 -0.8057129832), (-0.2979456717 -0.7355558871), (-0.5142522383 -0.8968551046), (-0.3596117328 -0.778090705), (-0.3922195401 -0.7669676796), (-0.4423962858 -0.8384827803), (-0.4059262051 -0.7719245783), (-0.4969630313 -0.8692815245), (-0.4801792601 -0.8615580706), (-0.4945498069 -0.8727691342), (-0.2584539423 -0.6849734775), (-0.3201625278 -0.7508877554), (-0.290441912 -0.8207876514), (-0.2536860206 -0.6760632075), (-0.3596178119 -0.7713744741), (-0.4057162351 -0.7622028911), (-0.4166665599 -0.8128603447))"
16,2022-06-01 16:00:00,
17,2022-06-01 17:00:00,"MULTIPOINT ((-0.3975771717 -0.7608332633), (-0.1778514708 -0.6311095761), (-0.3959487571 -0.7667489254), (-0.4035346154 -0.8208117918), (-0.2280045257 -0.6739349139), (-0.438315162 -0.835831682), (-0.1993671953 -0.6356084023), (-0.2997303271 -0.7291618865), (-0.1657452086 -0.6244726212), (-0.3588945092 -0.7714616777), (-0.4027584178 -0.7648375977), (-0.2356020954 -0.6905508753), (-0.3523685135 -0.8280242431), (-0.2122824201 -0.6666369875), (-0.4546956811 -0.8090146219), (-0.4155603584 -0.79380435), (-0.4013695049 -0.7613847385), (-0.3239428516 -0.7443098105), (-0.4262895084 -0.8301753659), (-0.3633435722 -0.7809344501), (-0.4271315041 -0.8196882774), (-0.4215566611 -0.8385609238), (-0.4990864816 -0.8770245889), (-0.4113860801 -0.8176343125), (-0.4179201218 -0.814203567), (-0.4098895896 -0.8302952932), (-0.2554294032 -0.6833093362), (-0.4866777505 -0.8338838159), (-0.2552219364 -0.6965334749), (-0.2444559388 -0.7124664106), (-0.4684523504 -0.8621929942), (-0.2842874911 -0.8401742808), (-0.4599112866 -0.8366658091), (-0.4409746824 -0.8265704516), (-0.3617429608 -0.7736007004), (-0.4645437678 -0.8398212938), (-0.4767698554 -0.8567116814), (-0.2715464019 -0.7031639328), (-0.5023981426 -0.8669785852), (-0.3660732117 -0.7768918485), (-0.3187510265 -0.734491323), (-0.4398784937 -0.8443520093), (-0.3133440463 -0.6975762232), (-0.4101258728 -0.816352544), (-0.2306097656 -0.674718495), (-0.3469448751 -0.7947915454))"
18,2022-06-01 18:00:00,"MULTIPOINT ((-0.2738775276 -0.7088206065), (-0.3563604165 -0.8195461169), (-0.311999118 -0.6858595811), (-0.3976830507 -0.7477708954), (-0.2410818023 -0.6829797744), (-0.4432947523 -0.8605495362), (-0.4027166682 -0.7532434461), (-0.3646602204 -0.7869432168), (-0.269067737 -0.7118890068), (-0.3265677446 -0.7519431401), (-0.5234282184 -0.894817889), (-0.2582977015 -0.7094614908), (-0.3144582043 -0.7421352029), (-0.5166377189 -0.8925860597), (-0.5236070177 -0.8898007882), (-0.4448216686 -0.8442183129), (-0.1869977703 -0.6468039683), (-0.3055840672 -0.6894630052), (-0.4078387616 -0.7637840608), (-0.4049594968 -0.8039090657), (-0.3022761312 -0.7478433763), (-0.2064822453 -0.6584511098), (-0.3988627387 -0.7549310126), (-0.3314941719 -0.760036688), (-0.2357764098 -0.6727650259), (-0.4014557159 -0.7615912138), (-0.5234645146 -0.8924610658), (-0.2014432042 -0.6567003609), (-0.1475490272 -0.6182597633), (-0.3452834124 -0.7582864756), (-0.3360267342 -0.7190574092), (-0.4043398381 -0.7894962035), (-0.2375425446 -0.685573472), (-0.3343722149 -0.7635294834), (-0.4102971924 -0.8160828862), (-0.5118868427 -0.8869810047), (-0.4826646598 -0.8423373844), (-0.48433989 -0.8441763502), (-0.2484722926 -0.6878774247), (-0.1996290469 -0.6540447325), (-0.3712819035 -0.7789062946), (-0.3285767037 -0.7911543842), (-0.3855038681 -0.7978665024), (-0.4162585697 -0.8103550428))"
19,2022-06-01 19:00:00,"MULTIPOINT ((-0.4004586714 -0.7428382563), (-0.1781704339 -0.6331505468), (-0.3635589061 -0.7860916847), (-0.1404642241 -0.6126419527), (-0.4417368442 -0.8483544363), (-0.3406655629 -0.770072976), (-0.1719669474 -0.6279132016), (-0.2095377018 -0.6657462347), (-0.399697642 -0.8212343391), (-0.4568613579 -0.8479087023), (-0.1493903322 -0.6177888159), (-0.4103104831 -0.8342354916), (-0.412797939 -0.8162482334), (-0.3427437173 -0.7673291307), (-0.2994398379 -0.8292072444), (-0.3870330491 -0.8110333597), (-0.4422136424 -0.8504881541), (-0.4418370016 -0.7942113401), (-0.3512805495 -0.7833242354), (-0.4954154041 -0.8674367769), (-0.4630959405 -0.8229546889), (-0.356788164 -0.7773607693), (-0.4149260083 -0.7951401216), (-0.2852119729 -0.7118743437), (-0.4305473754 -0.8326332214), (-0.4634408145 -0.8522480228), (-0.4467045444 -0.8436819777), (-0.4223808067 -0.8137860863), (-0.4113413207 -0.7936798926), (-0.3115528349 -0.7304980753), (-0.28922113 -0.7390308602), (-0.2324171733 -0.6761830753), (-0.2292543477 -0.6693321347), (-0.3655602961 -0.7764865274), (-0.4144745698 -0.8165833386), (-0.4509683415 -0.8290279494), (-0.3230638743 -0.7486555088), (-0.1783203124 -0.6380825303), (-0.2463872096 -0.7377283488), (-0.3235005022 -0.7005122384), (-0.2743463692 -0.7025055243), (-0.32498698 -0.7086429805), (-0.399814845 -0.7533591414), (-0.2073902626 -0.6495856635), (-0.3799133206 -0.7575803227), (-0.3622350165 -0.7850332601), (-0.366649154 -0.8180348651), (-0.1388921611 -0.6104654378), (-0.3895371631 -0.7999334018), (-0.4218392236 -0.8229466421), (-0.386963675 -0.8072309109), (-0.5050172544 -0.8738100346), (-0.4809341209 -0.847880151), (-0.2739607289 -0.6967722568), (-0.266015931 -0.6995416731), (-0.3982310109 -0.7536984787), (-0.4083694081 -0.809003416), (-0.4400208775 -0.8420741641), (-0.4024091334 -0.8176681091), (-0.3394724947 -0.7520214028), (-0.3749366208 -0.7634401935), (-0.4659636727 -0.8263611151))"
20,2022-06-01 20:00:00,"MULTIPOINT ((-0.5100900885 -0.8747778581), (-0.3938574013 -0.824560774), (-0.2754781986 -0.7107184632), (-0.4139448769 -0.8114480389), (-0.3857655409 -0.7980537846), (-0.4152903714 -0.7925790284), (-0.4014658181 -0.752149079), (-0.4295982789 -0.8433579592), (-0.4015140343 -0.8226851504), (-0.3991601713 -0.7559951594), (-0.3999586592 -0.7581107569), (-0.3413506622 -0.7686141179), (-0.360819969 -0.7729196417), (-0.5177280371 -0.8964573534), (-0.486096176 -0.8679117775), (-0.3990674937 -0.8222665371), (-0.3199645076 -0.7437433742), (-0.3550829849 -0.7860233762), (-0.2144916493 -0.6682323434), (-0.1676535484 -0.6255439803), (-0.4239472376 -0.8299209672), (-0.460371069 -0.8698223302), (-0.4810962621 -0.8801938426), (-0.4355753905 -0.8471700641), (-0.4709544976 -0.8447824246), (-0.3870422275 -0.8308879562), (-0.3823804529 -0.8073899994), (-0.2461168353 -0.6863096664), (-0.4208610723 -0.7708126274), (-0.4261619947 -0.8170105352), (-0.2814767661 -0.8335543136), (-0.4119243852 -0.8169884809), (-0.3861060344 -0.8038675799), (-0.5109511264 -0.8882660516), (-0.3692673122 -0.7793005886), (-0.4328595781 -0.82290611), (-0.2850300744 -0.7122810358), (-0.2258079465 -0.6715087092), (-0.4077703112 -0.814098422), (-0.4086585862 -0.8102826811), (-0.3984379115 -0.7545076904), (-0.3535432547 -0.778251999), (-0.353611854 -0.7851086618), (-0.4362926141 -0.8707833586), (-0.1446798795 -0.6093557519), (-0.3995541258 -0.7533269542), (-0.4019534932 -0.7612726791), (-0.3585771404 -0.7556564182), (-0.2796465169 -0.8373970561), (-0.1844339224 -0.6772834626), (-0.2942310566 -0.8262153187), (-0.4198237979 -0.8098255027))"
21,2022-06-01 21:00:00,"MULTIPOINT ((-0.4313285495 -0.8234687315), (-0.264365524 -0.9587577164), (-0.1945514298 -0.6504088826), (-0.4759453523 -0.8692663846), (-0.3741476689 -0.7944424328), (-0.2788390592 -0.8403693714), (-0.3648978447 -0.7937572612), (-0.4040719967 -0.7676926083), (-0.1525521297 -0.625065463), (-0.1910758247 -0.6472878502), (-0.3460814235 -0.7713875874), (-0.275368386 -0.7257029474), (-0.3463396395 -0.7789334153), (-0.2387283118 -0.6891438148), (-0.2993776753 -0.8095360557), (-0.4033307246 -0.7537850863), (-0.4113366421 -0.7937794347), (-0.4933077478 -0.8639129864), (-0.3265305841 -0.7924323976), (-0.515395481 -0.8854324395), (-0.2480917183 -0.6880601768), (-0.4062638079 -0.7727275314), (-0.4096222846 -0.7853652658), (-0.5225796369 -0.8899205367), (-0.4116319291 -0.8399754946), (-0.4622880061 -0.8503846184), (-0.4953115813 -0.8580934689), (-0.3000742774 -0.7463745044), (-0.397592608 -0.8236806906), (-0.3443271043 -0.7674718275), (-0.1563914423 -0.6364750743), (-0.1409135021 -0.6129793826), (-0.2648043273 -0.6979162161), (-0.2636983046 -0.700254025), (-0.3213906108 -0.74219314), (-0.453802072 -0.8294134813), (-0.1449289172 -0.6113356265), (-0.3082613782 -0.7133616935), (-0.23118094 -0.6864290573), (-0.4221591254 -0.8188697671), (-0.4038421502 -0.8051852908), (-0.2285448125 -0.6822152076), (-0.3509834149 -0.8362831382), (-0.2544118563 -0.6919098932), (-0.3435731971 -0.8293538753), (-0.3709345859 -0.7984277529), (-0.4050523831 -0.7937577381), (-0.4310600526 -0.8341752895), (-0.4052627405 -0.8589171053), (-0.363181878 -0.7924374641), (-0.2461744087 -0.6764301423), (-0.4716057144 -0.8538147678), (-0.3028579739 -0.8449689915), (-0.249908498 -0.7495396453), (-0.3434231249 -0.7268039307), (-0.2484448618 -0.790005716), (-0.3968227877 -0.763551776))"
